Fecha,Compe,Campeón,Segundo,Modalidad,Tipo de compe
1/5/2026,Sativa Free,Ml - Efra,,2vs2,Local
1/9/2026,Repartiendo Rimas,Lauty,Kaefe,1vs1,Local
1/16/2026,Repartiendo Rimas,Genes - Naista - Abel - Fran,Lauty - Ml - Meta - Kaefe,Pandilla,Local
1/20/2026,Sativa Free,Naista,,1vs1,Local
1/23/2026,Repartiendo Rimas,Narva,Gabe,1vs1,Local
1/26/2026,Sativa Free,Tesla (teslacba),,1vs1,Pre Regional
1/30/2026,Repartiendo Rimas,Lauty,Pancho,1vs1,Pre Regional
2/2/2026,Sativa Free,Gona - Gama,,2vs2 (R),Local
2/9/2026,Sativa Free,Doble A,Naista,1vs1,Local
2/13/2026,Repartiendo Rimas,Doble A - Naista,Tomy (Cba) - Thau,2vs2,Local
2/15/2026,Repartiendo Rimas,Lauty,Abel,1vs1,Local ft Sativa Free
2/20/2026,Repartiendo Rimas,Genes - Pancho,La Muela - Abel,Multiverse,Local
2/22/2026,Hotrack,Lauty,Doble A,1vs1,Regional
2/23/2026,Sativa Free,Chucho Ith,agusdiaz.ith,1vs1,Local
3/2/2026,Sativa Free,Illio (illio.wav) - Oeste (oeste.indigo) - Lian (lian.wisdom),,3vs3,Local
3/6/2026,Repartiendo Rimas,Pancho - Brain,Tomy (AG) - Frida,3vs3,Local
3/9/2026,Sopa de clona free,Fran Foro,Abel,1vs1,Local
3/13/2026,Repartiendo Rimas,Rayo - Lauty - Pancho,Gabe - Narva - ??,Multiverse,Local
3/15/2026,Hotrack,Gabe - Salo,Rayo - Gona,2vs2,Local
3/16/2026,Sativa Free,Mono Strong,Soto,1vs1,Local
3/20/2026,Repartiendo Rimas,Lauty - Pancho,Rayo - Ml,2vs2,Local
3/22/2026,Repartiendo Rimas,Naista - Mecha,Lauty - Ml,2vs2,Local ft Big Level
3/23/2026,Sativa Free,Pancho - Doble A,Gona - Verde,2vs2 (R),Local
3/26/2026,Repartiendo Rimas,Brain,Pancho,1vs1,Local
3/27/2026,Repartiendo Rimas,Naista - Karma - Dumo - Tropi,,Pandilla,Manija
3/30/2026,Sativa Free,Mono Strong - Gabe - Diesiciete - Zaiker,Hoka - Kelio - Mariano Nicolas - Ml,Pandilla,Local
4/4/2026,Hotrack,Junior,Lauty,1vs1,Pre Provincial
4/6/2026,Sativa Free,Salo - Tu primo Leandro,Pancho - Lauty,2vs2,Local
4/10/2026,Repartiendo Rimas,Pancho,Narva,1vs1,Local
4/17/2026,Repartiendo Rimas,Naista - Shinden,Gabe - Narva,2vs2,Local
4/20/2026,Sativa Free,Naista,Doble A,Multiverse,Local
4/24/2026,Repartiendo Rimas,Lauty,Rayo,1vs1,Local
4/27/2026,Sativa Free,Mono Strong,Lautaro Romario,1vs1,Local
5/1/2026,Compe en la Solares,Lauty,Fer,1vs1,Local
5/2/2026,Euforia Freestyle,Ml - Abel - Cmk,Hbr - Kato - Fer,Pandilla,Local
5/4/2026,Sativa Free,Gona - Narva,Rayo - Doble A,2vs2,Local
5/9/2026,Euforia Freestyle,Ml,Lauty,1vs1,Local
5/11/2026,Euforia Freestyle,Abel,Tomy,1vs1,Local
5/15/2026,Hotrack,Naista - Doble A,Salo - Shinden,2vs2,Local
5/18/2026,Sativa Free,Pancho,Naista,1vs1,Local
5/22/2026,Repartiendo Rimas,Naista,Mono Strong,1vs1,Local
5/25/2026,Sativa Free,Doble A - Rayo - Gabe - Karma,Ml - Tropi - Abel - Lauty,4vs4,Local
5/30/2026,Euforia Freestyle,Lauty,Kaefe,1vs1,Local
6/1/2026,Sativa Free,Naista - Doble A,Pancho - Rayo,2vs2,Local
6/5/2026,Hotrack,Naista,Lauty,1vs1,Local
6/6/2026,Euforia Freestyle,Martin Flow,Hbr,1vs1,Local
6/13/2026,Euforia Freestyle,Gona,Lauty,1vs1,Local
6/15/2026,Sativa Free,Naista,Pancho,1vs1,Local
6/18/2026,Zona de Réplica,Doble A,Lauty,1vs1,Local
6/22/2026,Sativa Free,Tropi,Soto,1vs1,Local
6/26/2026,Hotrack,Lauty,Ml,1vs1,Local
6/30/2026,Zona de Réplica,Gona,Pancho,1vs1,Local
